,correct,false_positive,false_negative,fp_vs_correct,fn_vs_correct
profanity_count,-0.01305857896222224,-0.028326008091818056,0.05812198041296362,-0.015267429129595816,0.07118055937518586
vader_neg,-0.06598800052950882,2.4741021673687693,0.6035356863838283,2.540090167898278,0.6695236869133371
vader_compound,0.050410029246145203,-1.1714560237189022,-0.6298554258010974,-1.2218660529650474,-0.6802654550472427
second_person_density,-0.03632146238546506,1.2682759506121701,0.37899296564514634,1.3045974129976352,0.4153144280306114
uppercase_ratio,-0.03166529969824607,1.442617592140759,0.15350522964679902,1.474282891839005,0.1851705293450451
vader_pos,0.008728199996034715,-0.29615122208989153,-0.09655470085351053,-0.3048794220859262,-0.10528290084954525
second_person_count,-0.009266036060423833,0.11384658729398797,0.07482800031364169,0.12311262335441181,0.08409403637406553
slang_count,-0.0065660020899599054,0.12104666871596609,0.03226355321865594,0.127612670805926,0.03882955530861584
char_count,0.014022608319585357,-0.3290087629708986,-0.1448532486989506,-0.34303137129048394,-0.15887585701853596
identity_sexuality,-0.010786794827472359,0.47172264277284265,0.16979541857609354,0.482509437600315,0.1805822134035659
elongated_token_count,-0.004949759359027032,0.012459377126364602,0.02024331961197535,0.017409136485391635,0.025193078971002383
word_count,0.013744832334420915,-0.3631238977607288,-0.13173487925262867,-0.3768687300951497,-0.1454797115870496
avg_sentence_length,0.0025079427909485276,-0.004907102104444161,0.028907290843149858,-0.007415044895392688,0.02639934805220133
identity_gender,-0.01115877260841303,0.2239430446405782,0.1122365231669101,0.23510181724899124,0.12339529577532313
unique_word_ratio,-0.011076592712673779,0.4668000981083569,0.16361828999891256,0.4778766908210307,0.17469488271158634
has_second_person,-0.018012157562824295,0.277929376883879,0.23565619448214573,0.2959415344467033,0.25366835204497
vader_pos_minus_neg,0.0492344732340311,-1.8260462006427711,-0.4610152808007129,-1.8752806738768022,-0.510249754034744
sentence_count,-0.000853052846807483,-0.1518005516490337,-0.0225145778919454,-0.15094749880222622,-0.02166152504513792
identity_race,-0.0015337952657354266,-0.06896505377645216,-0.019571170160480027,-0.06743125851071674,-0.0180373748947446
obfuscated_profanity_count,-0.007137294578010577,0.3820410235852253,0.05173553252391266,0.3891783181632359,0.058872827101923236
