,correct,false_positive,false_negative,fp_vs_correct,fn_vs_correct
profanity_count,-0.009560180296314367,0.03131632043443682,-0.009551165984460342,0.04087650073075119,9.01431185402514e-06
vader_neg,-0.04053531727386054,1.094593222177478,0.553462968220605,1.1351285394513384,0.5939982854944655
vader_pos_minus_neg,0.03180134899741511,-0.9156857815350039,-0.42232113744357835,-0.9474871305324191,-0.45412248644099346
vader_compound,0.03108804412249679,-0.778024066977332,-0.5279209144132735,-0.8091121110998287,-0.5590089585357703
second_person_density,-0.02547605930303937,0.8525527759781552,0.3290783888269676,0.8780288352811946,0.35455444813000697
char_count,0.009856152319094263,-0.2259509005214742,-0.1256031959277289,-0.23580705284056847,-0.13545934824682315
uppercase_ratio,-0.03010046748757908,0.5544914619986129,0.3698109541464445,0.584591929486192,0.3999114216340236
avg_sentence_length,0.0038219054594265723,0.1537348514063171,-0.05301493888698328,0.14991294594689053,-0.05683684434640986
vader_intensity,-0.0033641241897449615,0.007810895484440252,0.06641885748079406,0.011175019674185212,0.06978298167053902
vader_is_negative,-0.02690426753362201,0.6242891816111275,0.5132901816727223,0.6511934491447494,0.5401944492063443
word_count,0.009560394040256617,-0.21432566415741722,-0.11805850637070985,-0.22388605819767382,-0.12761890041096646
unique_word_ratio,-0.0063236778010315525,0.3012372765624938,0.14469399628010632,0.3075609543635254,0.15101767408113786
vader_pos,0.007793830658381758,-0.2993827260013533,-0.08784790118590102,-0.30717655665973503,-0.09564173184428278
exclamation_count,-0.012236850031244844,0.014970209747911141,0.02769352389845977,0.027207059779155985,0.03993037392970461
sentence_count,-0.0035398915457059326,0.00213335746578853,-0.009556997232645617,0.0056732490114944625,-0.006017105686939685
second_person_count,-0.006522780881941776,0.07985739065361767,0.05153468593388509,0.08638017153555945,0.058057466815826866
negation_count,0.0016887633575853806,-0.21666177809621423,-0.061715148456364825,-0.21835054145379962,-0.0634039118139502
consecutive_punct_count,-0.0003250607108848775,-0.17805829772230447,0.026147231976510497,-0.1777332370114196,0.026472292687395375
has_second_person,-0.011712378369218483,0.25010819434011916,0.19487833443034297,0.2618205727093376,0.20659071279956145
identity_sexuality,-0.008143640640509365,0.15286361483683966,0.2697505373337063,0.16100725547734904,0.2778941779742157
