,correct,false_positive,false_negative,fp_vs_correct,fn_vs_correct
profanity_count,-0.008181087622539007,-0.011058614986310904,-0.03465405361758854,-0.0028775273637718975,-0.026472965995049533
word_count,0.022308504198090627,-0.16943308653064995,-0.16752292352308562,-0.19174159072874059,-0.18983142772117625
vader_neg,-0.10992683889769556,1.0557244492277558,-0.011723992509598265,1.1656512881254513,0.09820284638809729
sentence_count,0.0017889568126795569,-0.0413483771105186,-0.08138339386257977,-0.04313733392319816,-0.08317235067525933
elongated_token_count,-0.00627533092024479,0.03171895631585356,-0.03491957723363375,0.03799428723609835,-0.028644246313388962
vader_compound,0.07960563937542806,-0.757791646980138,-0.19530124668976462,-0.8373972863555661,-0.27490688606519265
second_person_count,-0.014206935632480978,0.11253688443113764,-0.04295786979010994,0.12674382006361862,-0.02875093415762896
second_person_density,-0.08144193496499201,0.7865206017638073,0.07550027317198353,0.8679625367287993,0.15694220813697554
slang_count,-0.009234991235149865,0.05694494981433247,-0.00043779623763010945,0.06617994104948234,0.008797194997519756
avg_sentence_length,0.010494291259050766,-0.05313797964795697,-0.021381528398863675,-0.06363227090700774,-0.031875819657914445
exclamation_count,-0.01190147995119181,0.0031891363622291867,0.0001734140952717141,0.015090616313420997,0.012074894046463525
uppercase_ratio,-0.034975800793884966,0.28954860480354,-0.08038190147723527,0.32452440559742496,-0.045406100683350305
vader_pos,0.005278220374514692,-0.053107167718528386,-0.02622146872557541,-0.05838538809304308,-0.0314996891000901
identity_sexuality,-0.036416949839321984,0.42107848317644886,-0.09735577669257872,0.45749543301577084,-0.06093882685325674
vader_is_negative,-0.07918052065314825,0.7791598032200667,0.11653146991898322,0.858340323873215,0.19571199057213146
char_count,0.02251461289475783,-0.17151268468396696,-0.17780623629993925,-0.1940272975787248,-0.2003208491946971
vader_pos_minus_neg,0.0760872067962468,-0.7322794825527826,-0.009035978481077902,-0.8083666893490294,-0.0851231852773247
unique_word_ratio,-0.027253256228574527,0.2911106718439465,0.08541528095660787,0.31836392807252106,0.1126685371851824
identity_gender,-0.01951276900290419,0.17659499172406953,-0.021297420332341572,0.19610776072697372,-0.0017846513294373818
url_count,0.006620373025193503,-0.06043682332688342,-0.035192180861331565,-0.06705719635207692,-0.04181255388652507
